;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
136;;DATA[0];;;;;136;;;Passive;;1;;True;;True;;DATA[0];;;0mm;;;
137;;ALINKI;;;;;137;;;Passive;;3;;True;;True;;ALINKI;;;0mm;;;
138;;HLINKI;;;;;138;;;Passive;;2;;True;;True;;HLINKI;;;0mm;;;
139;;VDDO;;;;;139;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
140;;VLINKI;;;;;140;;;Passive;;2;;True;;True;;VLINKI;;;0mm;;;
141;;DLINKI[0];;;;;141;;;Passive;;2;;True;;True;;DLINKI[0];;;0mm;;;
142;;DLINKI[1];;;;;142;;;Passive;;2;;True;;True;;DLINKI[1];;;0mm;;;
143;;DLINKI[2];;;;;143;;;Passive;;2;;True;;True;;DLINKI[2];;;0mm;;;
144;;DLINKI[3];;;;;144;;;Passive;;2;;True;;True;;DLINKI[3];;;0mm;;;
145;;VSS;;;;;145;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
146;;DLINKI[4];;;;;146;;;Passive;;2;;True;;True;;DLINKI[4];;;0mm;;;
147;;DLINKI[5];;;;;147;;;Passive;;2;;True;;True;;DLINKI[5];;;0mm;;;
148;;DLINKI[6];;;;;148;;;Passive;;2;;True;;True;;DLINKI[6];;;0mm;;;
149;;DLINKI[7];;;;;149;;;Passive;;2;;True;;True;;DLINKI[7];;;0mm;;;
150;;CLKMPP2;;;;;150;;;Passive;;2;;True;;True;;CLKMPP2;;;0mm;;;
151;;VDDI;;;;;151;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
152;;MPP2[7];;;;;152;;;Passive;;2;;True;;True;;MPP2[7];;;0mm;;;
153;;MPP2[6];;;;;153;;;Passive;;2;;True;;True;;MPP2[6];;;0mm;;;
154;;MPP2[5];;;;;154;;;Passive;;2;;True;;True;;MPP2[5];;;0mm;;;
155;;MPP2[4];;;;;155;;;Passive;;2;;True;;True;;MPP2[4];;;0mm;;;
156;;VSS;;;;;156;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
157;;VDDO;;;;;157;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
158;;MPP2[3];;;;;158;;;Passive;;2;;True;;True;;MPP2[3];;;0mm;;;
159;;MPP2[2];;;;;159;;;Passive;;2;;True;;True;;MPP2[2];;;0mm;;;
160;;MPP2[1];;;;;160;;;Passive;;2;;True;;True;;MPP2[1];;;0mm;;;
161;;MPP2[0];;;;;161;;;Passive;;2;;True;;True;;MPP2[0];;;0mm;;;
162;;VSS;;;;;162;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
163;;VSS;;;;;163;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
164;;TEST;;;;;164;;;Passive;;3;;True;;True;;TEST;;;0mm;;;
165;;VDDVADC;;;;;165;;;Passive;;1;;True;;True;;VDDVADC;;;0mm;;;
166;;VIN0A;;;;;166;;;Passive;;2;;True;;True;;VIN0A;;;0mm;;;
167;;VIN0B;;;;;167;;;Passive;;2;;True;;True;;VIN0B;;;0mm;;;
168;;VSSVADC;;;;;168;;;Passive;;3;;True;;True;;VSSVADC;;;0mm;;;
169;;VSSVADC;;;;;169;;;Passive;;3;;True;;True;;VSSVADC;;;0mm;;;
170;;VIN1A;;;;;170;;;Passive;;2;;True;;True;;VIN1A;;;0mm;;;
171;;VIN1B;;;;;171;;;Passive;;2;;True;;True;;VIN1B;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:21:49 AM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 4;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
172;;VDDVADC;;;;;172;;;Passive;;1;;True;;True;;VDDVADC;;;0mm;;;
173;;VDDVADC;;;;;173;;;Passive;;1;;True;;True;;VDDVADC;;;0mm;;;
174;;VSSVADC;;;;;174;;;Passive;;3;;True;;True;;VSSVADC;;;0mm;;;
175;;VDDVADC;;;;;175;;;Passive;;1;;True;;True;;VDDVADC;;;0mm;;;
176;;VIN2A;;;;;176;;;Passive;;2;;True;;True;;VIN2A;;;0mm;;;
177;;VIN2B;;;;;177;;;Passive;;2;;True;;True;;VIN2B;;;0mm;;;
178;;VSSVADC;;;;;178;;;Passive;;3;;True;;True;;VSSVADC;;;0mm;;;
179;;VSSVADC;;;;;179;;;Passive;;3;;True;;True;;VSSVADC;;;0mm;;;
180;;VIN3A;;;;;180;;;Passive;;2;;True;;True;;VIN3A;;;0mm;;;
181;;VIN3B;;;;;181;;;Passive;;2;;True;;True;;VIN3B;;;0mm;;;
182;;VDDVADC;;;;;182;;;Passive;;1;;True;;True;;VDDVADC;;;0mm;;;
183;;VSSVDAC;;;;;183;;;Passive;;3;;True;;True;;VSSVDAC;;;0mm;;;
184;;VAOYX;;;;;184;;;Passive;;2;;True;;True;;VAOYX;;;0mm;;;
185;;VDDVDAC;;;;;185;;;Passive;;1;;True;;True;;VDDVDAC;;;0mm;;;
186;;VAOCX;;;;;186;;;Passive;;2;;True;;True;;VAOCX;;;0mm;;;
187;;VDDVDAC;;;;;187;;;Passive;;1;;True;;True;;VDDVDAC;;;0mm;;;
188;;VSSVDAC;;;;;188;;;Passive;;3;;True;;True;;VSSVDAC;;;0mm;;;
189;;VAOYY;;;;;189;;;Passive;;2;;True;;True;;VAOYY;;;0mm;;;
190;;VDDVDAC;;;;;190;;;Passive;;1;;True;;True;;VDDVDAC;;;0mm;;;
191;;NC;;;;;191;;;Passive;;3;;True;;True;;NC;;;0mm;;;
192;;VSSVDAC;;;;;192;;;Passive;;3;;True;;True;;VSSVDAC;;;0mm;;;
193;;VDDADAC;;;;;193;;;Passive;;1;;True;;True;;VDDADAC;;;0mm;;;
194;;AOUT;;;;;194;;;Passive;;2;;True;;True;;AOUT;;;0mm;;;
195;;VSSADAC;;;;;195;;;Passive;;3;;True;;True;;VSSADAC;;;0mm;;;
196;;VSSAADC;;;;;196;;;Passive;;3;;True;;True;;VSSAADC;;;0mm;;;
197;;AIN0;;;;;197;;;Passive;;2;;True;;True;;AIN0;;;0mm;;;
198;;AIN1;;;;;198;;;Passive;;2;;True;;True;;AIN1;;;0mm;;;
199;;AIN2;;;;;199;;;Passive;;2;;True;;True;;AIN2;;;0mm;;;
200;;AIN3;;;;;200;;;Passive;;2;;True;;True;;AIN3;;;0mm;;;
201;;VDDAADC;;;;;201;;;Passive;;1;;True;;True;;VDDAADC;;;0mm;;;
202;;VSS;;;;;202;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
203;;VSS;;;;;203;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
204;;MPP1[7];;;;;204;;;Passive;;2;;True;;True;;MPP1[7];;;0mm;;;
205;;MPP1[6];;;;;205;;;Passive;;2;;True;;True;;MPP1[6];;;0mm;;;
206;;MPP1[5];;;;;206;;;Passive;;2;;True;;True;;MPP1[5];;;0mm;;;
207;;MPP1[4];;;;;207;;;Passive;;2;;True;;True;;MPP1[4];;;0mm;;;
208;;VDDO;;;;;208;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:21:49 AM;;;;;;;;;;;;;;;;;;;;;;;Page 4 of 4;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
